NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE_NO,CUSINE_TYPE,TIMING,RATING_TYPE,RATING,VOTES
Aromas of Pind,1500,"North Indian,Chinese",Delhi NCR,Sarita Vihar,https://www.zomato.com/ncr/aromas-of-pind-sarita-vihar-new-delhi/info,444,Casual Dining,1130am to 11pm(Mon-Sun),Very Good,4,499
City Socialite,1000,"Italian,Continental,Cafe",Delhi NCR,SDA Market-- SDA,https://www.zomato.com/CafeCitySocial/info,444,Casual Dining,11am to 11pm(Mon-Sun),Good,3.9,767
Mummy's Kitchen,150,North Indian,Delhi NCR,Sushant Lok,https://www.zomato.com/ncr/mummys-kitchen-sushant-lok-gurgaon/info,444,Quick Bites,11am to 1130pm(Mon-Sun),Good,3.7,72
Daddoo's,600,"Mughlai,North Indian",Delhi NCR,Sector 21-- Faridabad,https://www.zomato.com/ncr/daddoos-sector-21-faridabad/info,444,Quick Bites,"12noon to 11pm(Mon,Wed,Thu,Fri,Sat,Sun)...",Good,3.9,119
Loknath Sweets,100,Mithai,Delhi NCR,Nehru Nagar,https://www.zomato.com/ncr/loknath-sweets-nehru-nagar-ghaziabad/info,444,Sweet Shop,9am to 9pm(Mon-Sun),Good,3.7,29
Eco Yard Cafe,600,"North Indian,Chinese",Delhi NCR,Sector 83-- Gurgaon (Gurugram),https://www.zomato.com/ncr/eco-yard-cafe-sector-83-gurgaon/info,445,Quick Bites,12noon to 11pm(Mon-Sun),Average,3.1,4
Cake Palace,250,"Bakery,Fast Food",Delhi NCR,Sector 10-- Dwarka,https://www.zomato.com/ncr/cake-palace-sector-10-dwarka-new-delhi/info,445,Bakery,10am to 10pm(Mon-Sun),Good,3.6,26
Annpoorna Bhog,350,"North Indian,Chinese",Delhi NCR,DLF Phase 4,https://www.zomato.com/ncr/annpoorna-bhog-dlf-phase-4-gurgaon/info,445,Quick Bites,10am to 11pm(Mon-Sun),Average,3.4,14
Da Pepper Pizza,500,Fast Food,Delhi NCR,Badarpur Border,https://www.zomato.com/ncr/da-pepper-pizza-badarpur-border-faridabad/info,445,Quick Bites,10am to 10pm(Mon-Sun),Average,3.4,23
Udi Baba Biryani,500,"Biryani,North Indian,Mughlai",Delhi NCR,Sector 44-- Gurgaon,https://www.zomato.com/ncr/udi-baba-biryani-sector-44-gurgaon/info,445,none,1130am to 1030pm(Mon-Sun),Good,3.8,58
Tandoori Town,300,"Rolls,Mughlai",Delhi NCR,Jasola,https://www.zomato.com/ncr/tandoori-town-jasola-new-delhi/info,445,Quick Bites,3pm to 11pm(Mon-Sun),None,NEW,NEW
Soya King,350,"North Indian,Rolls",Delhi NCR,Chittaranjan Park,https://www.zomato.com/ncr/soya-king-chittaranjan-park-new-delhi/info,445,Quick Bites,1130am to 1130pm(Mon-Sun),Average,3.4,130
Meerut Wale,200,"Mithai,Street Food",Delhi NCR,Azadpur,https://www.zomato.com/ncr/meerut-wale-azadpur-new-delhi/info,445,Sweet Shop,730am to 1030pm(Mon-Sun),Dobré,3.5,67
Dilli Rasoi,700,"North Indian,Mughlai,Chinese",Delhi NCR,Old Railway Road,https://www.zomato.com/dillirasoi/info,445,none,12noon to 11pm(Mon-Sun),Average,3.4,64
Pizzoccheri,800,"Fast Food,Pizza",Delhi NCR,Unitech Infospace-- Sector 21-- Gurgaon,https://www.zomato.com/ncr/pizzoccheri-sector-21-gurgaon/info,445,Casual Dining,"11am to 11pm(Mon-Sat),Closed(Sun)",Good,3.8,135
Noor Chicken Point & Restaurant,400,North Indian,Delhi NCR,Shahdara,https://www.zomato.com/ncr/noor-chicken-point-restaurant-shahdara-new-delhi/info,445,Dhaba,630pm to 12midnight(Mon-Sun),Good,3.6,34
Punjabi Snacks,200,Street Food,Delhi NCR,Kalkaji,https://www.zomato.com/ncr/punjabi-snacks-kalkaji-new-delhi/info,445,Quick Bites,9am to 10pm(Mon-Sun),Good,3.5,37
Everest Momos & Chinese Fast Food,350,"Chinese,Momos",Delhi NCR,Punjabi Bagh,https://www.zomato.com/ncr/everest-momos-chinese-fast-food-punjabi-bagh-new-delhi/info,445,Quick Bites,11am to 10pm(Mon-Sun),Average,3.4,74
Premsay- The Bakers Mart,350,"Bakery,Desserts,Fast Food",Delhi NCR,Pitampura,https://www.zomato.com/ncr/premsay-the-bakers-mart-pitampura-new-delhi/info,445,Bakery,9am to 10pm(Mon-Sun),Good,3.8,252
Sunny Quick Foods,300,"Chinese,Fast Food,North Indian",Delhi NCR,Sheikh Sarai,https://www.zomato.com/ncr/sunny-quick-foods-sheikh-sarai-new-delhi/info,445,Quick Bites,1030am to 10pm(Mon-Sun),Average,3,27
Sai Durga Dosa & Pizza Corner,300,"South Indian,Pizza,Fast Food",Delhi NCR,Nangloi,https://www.zomato.com/ncr/sai-durga-dosa-pizza-corner-nangloi-new-delhi/info,446,Quick Bites,10am to 10pm(Mon-Sun),Average,3.4,48
Frequent Bakes,350,"Bakery,Desserts,Fast Food",Delhi NCR,Sector 62-- Noida,https://www.zomato.com/ncr/frequent-bakes-sector-62-noida/info,446,Bakery,11am to 10pm(Mon-Sun),Average,2.5,80
The Silver Plate,500,"North Indian,Chinese",Delhi NCR,Azadpur,https://www.zomato.com/ncr/the-silver-plate-azadpur-new-delhi/info,446,Quick Bites,11am to 1130pm(Mon-Sun),Average,3.4,93
Khushbu Vaishno Dhaba,350,North Indian,Delhi NCR,Vijay Nagar,https://www.zomato.com/ncr/khushbu-vaishno-dhaba-vijay-nagar-new-delhi/info,446,Quick Bites,"11am to 4pm,7pm to 11pm(Mon-Sun)",Average,3,144
Indian Bites,550,"North Indian,Chinese,Continental",Delhi NCR,Kirti Nagar,https://www.zomato.com/ncr/indian-bites-kirti-nagar-new-delhi/info,446,Casual Dining,11am to 11pm(Mon-Sun),Good,3.5,156
What's Up Kitchen,500,"North Indian,Chinese",Delhi NCR,Rohini,https://www.zomato.com/ncr/whats-up-kitchen-rohini-new-delhi/info,446,none,12noon to 11pm(Mon-Sun),Average,3,61
Hungry House Pizzas & More,600,"Pizza,Fast Food",Delhi NCR,Narela,https://www.zomato.com/ncr/hungry-house-pizzas-more-narela-new-delhi/info,446,Quick Bites,10am to 10pm(Mon-Sun),Average,3.3,352
Jalsa,400,Chinese,Delhi NCR,Safdarjung,https://www.zomato.com/ncr/jalsa-safdarjung-new-delhi/info,446,Quick Bites,11am to 10pm(Mon-Sun),Average,3.4,39
Special No. 1 Biryani Corner,600,"Biryani,Mughlai",Delhi NCR,Rohini,https://www.zomato.com/ncr/special-no-1-biryani-corner-1-rohini-new-delhi/info,446,none,"11am to 11pm(Mon,Wed,Thu,Fri,Sat,Sun),Closed...",Average,3.4,83
Mr. Baker's,250,Bakery,Delhi NCR,Mayur Vihar Phase 1,https://www.zomato.com/ncr/mr-bakers-1-mayur-vihar-new-delhi/info,446,Bakery,1030am to 1030pm(Mon-Sun),Average,3.1,110
Radha Ki Rasoi,400,"North Indian,South Indian,Chinese",Delhi NCR,Paschim Vihar,https://www.zomato.com/ncr/radha-ki-rasoi-paschim-vihar-new-delhi/info,446,Quick Bites,11am to 11pm(Mon-Sun),Average,3,73
The District Cafe & Restro,700,"North Indian,Mughlai,Chinese,Continental,Fast Food",Delhi NCR,Sector 44-- Noida,https://www.zomato.com/ncr/the-district-cafe-restro-sector-44-noida/info,446,Casual Dining,12noon to 12midnight(Mon-Sun),Good,3.8,144
Amar Bakery,300,"Bakery,Fast Food,Street Food",Delhi NCR,Anand Vihar,https://www.zomato.com/ncr/amar-bakery-anand-vihar-new-delhi/info,446,Bakery,10am to 10pm(Mon-Sun),Average,3.4,75
South Indian Hut,250,South Indian,Delhi NCR,Kirti Nagar,https://www.zomato.com/ncr/south-indian-hut-kirti-nagar-new-delhi/info,446,Quick Bites,930am to 1030pm(Mon-Sun),Good,3.9,107
Ghar Bistro Cafe,1000,"Cafe,Chinese,Mughlai,Kebab,North Indian",Delhi NCR,Rajouri Garden,https://www.zomato.com/ncr/ghar-bistro-cafe-rajouri-garden-new-delhi/info,446,Café,1130am to 12midnight(Mon-Sun),Very Good,4.2,1491
The Tandoori Hut,450,"North Indian,Mughlai",Delhi NCR,Sector 72-- Noida,https://www.zomato.com/ncr/the-tandoori-hut-sector-72-noida/info,447,none,1130am to 11pm(Mon-Sun),Average,3.4,41
Deep Pompa's Chicken Point,300,North Indian,Delhi NCR,Geeta Colony,https://www.zomato.com/ncr/deep-pompas-chicken-point-geeta-colony-new-delhi/info,447,Quick Bites,"11am to 11pm(Mon,Wed,Thu,Fri,Sat,Sun),Closed...",Good,3.8,42
Happy Pishori Chicken,450,"North Indian,Mughlai",Delhi NCR,Paschim Vihar,https://www.zomato.com/ncr/happy-pishori-chicken-paschim-vihar-new-delhi/info,447,none,"12noon to 11pm(Mon,Wed,Thu,Fri,Sat,Sun)...",Good,3.6,71
Cafe Hangout,700,Cafe,Delhi NCR,Sector 9-- Faridabad,https://www.zomato.com/ncr/cafe-hangout-sector-9-faridabad/info,447,Café,11am to 9pm(Mon-Sun),Good,3.8,98
Nirvana Restaurant,600,"North Indian,Mughlai",Delhi NCR,DLF Cyber City,https://www.zomato.com/ncr/nirvana-restaurant-dlf-cyber-city-gurgaon/info,447,Food Court,"11am to 11pm(Mon-Fri),11am to 4pm(Sat),Closed(Sun)",Good,3.9,276
Cafe Hangout,400,North Indian,Delhi NCR,Chhatarpur,https://www.zomato.com/ncr/cafe-hangout-chhatarpur-new-delhi/info,447,Quick Bites,11am to 11pm(Mon-Sun),Average,3,122
Health Table,500,"North Indian,Fast Food,Beverages",Delhi NCR,Mahipalpur,https://www.zomato.com/ncr/health-table-mahipalpur-new-delhi/info,447,Quick Bites,10am to 11pm(Mon-Sun),Average,3.2,4
Flirty Momo's,300,"Chinese,Rolls",Delhi NCR,Subhash Nagar,https://www.zomato.com/ncr/flirty-momos-subhash-nagar-new-delhi/info,447,none,4pm to 11pm(Mon-Sun),Good,3.7,115
Jain Vista Bakery,300,"Bakery,Fast Food",Delhi NCR,Vasundhara,https://www.zomato.com/ncr/jain-vista-bakery-vasundhara-ghaziabad/info,447,Bakery,10am to 9pm(Mon-Sun),Good,3.6,40
The Golden Buns,300,"Fast Food,Beverages",Delhi NCR,Vikaspuri,https://www.zomato.com/ncr/the-golden-buns-vikaspuri-new-delhi/info,447,Quick Bites,1115am to 1115pm(Mon-Sun),Good,3.7,121
Tunday Kababi,600,"Mughlai,North Indian",Delhi NCR,Sector 72-- Noida,https://www.zomato.com/ncr/tunday-kababi-sector-72-noida/info,447,Quick Bites,"11am to 11pm(Mon-Fri),11am to 12midnight(Sat-Sun)",Average,2.5,135
Kilo Kitchen Biryanis & More,700,"Biryani,North Indian,Mughlai,Kebab",Delhi NCR,Sector 15-- Gurgaon,https://www.zomato.com/kilokitchen/info,447,none,"1130am to 1130pm(Mon,Wed,Thu,Fri,Sat,Sun)...",Very Good,4.2,321
Brosis,900,"Cafe,Bakery",Delhi NCR,Jangpura,https://www.zomato.com/ncr/brosis-jangpura-new-delhi/info,447,Café,10am to 11pm(Mon-Sun),Good,3.9,218
Wafflelust,300,"Desserts,Beverages",Delhi NCR,Paschim Vihar,https://www.zomato.com/ncr/wafflelust-paschim-vihar-new-delhi/info,447,Dessert Parlor,12noon to 12midnight(Mon-Sun),Good,3.7,106
Spicy Chillies,500,"North Indian,Chinese",Delhi NCR,Shalimar Garden,https://www.zomato.com/ncr/spicy-chillies-shalimar-garden-ghaziabad/info,447,Quick Bites,"12noon to 11pm(Mon,Wed,Thu,Fri,Sat,Sun)...",Good,3.8,312
The Old City Café,500,"North Indian,Chinese,Fast Food",Delhi NCR,Vijay Nagar,https://www.zomato.com/ncr/the-old-city-café-vijay-nagar-new-delhi/info,448,Casual Dining,11am to 12midnight(Mon-Sun),Good,3.7,191
Aur Khilao,400,Fast Food,Delhi NCR,Geeta Colony,https://www.zomato.com/ncr/aur-khilao-geeta-colony-new-delhi/info,448,Quick Bites,1pm to 10pm(Mon-Sun),Average,3.2,11
Punjabi Tadka at OTH,300,"North Indian,Chinese,Mughlai,Afghan",Delhi NCR,Safdarjung,https://www.zomato.com/ncr/punjabi-tadka-at-oth-safdarjung-new-delhi/info,448,Quick Bites,11am to 11pm(Mon-Sun),Average,2.8,38
Cape Cafe 74,700,"North Indian,Chinese,South Indian",Delhi NCR,Sector 72-- Noida,https://www.zomato.com/ncr/cape-cafe-74-sector-72-noida/info,448,Casual Dining,930am to 1130pm(Mon-Sun),Average,3.3,45
Haveli Restaurant,600,"Chinese,North Indian",Delhi NCR,Indirapuram,https://www.zomato.com/ncr/haveli-restaurant-indirapuram-ghaziabad/info,448,Casual Dining,12noon to 11pm(Mon-Sun),Good,3.5,132
New Village Dhaba,250,"North Indian,Mughlai",Delhi NCR,Saket,https://www.zomato.com/ncr/new-village-dhaba-saket-new-delhi/info,448,Quick Bites,"1130am to 4pm,6pm to 12midnight(Mon-Sun)",Average,2.9,94
The Kitchen Exotica,600,"North Indian,Chinese,Mughlai",Delhi NCR,Badarpur Border,https://www.zomato.com/ncr/the-kitchen-exotica-badarpur-border-faridabad/info,448,Quick Bites,"11am to 4pm,6pm to 11pm(Mon-Sun)",Good,3.5,196
Lama Chinese Food,500,Chinese,Delhi NCR,West Patel Nagar,https://www.zomato.com/ncr/lama-chinese-food-west-patel-nagar-new-delhi/info,448,none,1pm to 10pm(Mon-Sun),Good,3.7,217
Punjabi Nature,700,"North Indian,Mughlai,Chinese",Delhi NCR,NIT,https://www.zomato.com/ncr/punjabi-nature-nit-faridabad/info,448,Casual Dining,10am to 11pm(Mon-Sun),Good,3.5,528
Bar-B-Q,400,"North Indian,Chinese,Afghan",Delhi NCR,Sector 49-- Faridabad,https://www.zomato.com/ncr/bar-b-q-sector-49-faridabad/info,448,Quick Bites,11am to 11pm(Mon-Sun),Good,3.6,167
Hungry Sapiens,250,"Rolls,Fast Food",Delhi NCR,Indirapuram,https://www.zomato.com/ncr/hungry-sapiens-1-indirapuram-ghaziabad/info,448,none,9am to 11pm(Mon-Sun),Average,3.3,9
Darbar Food Place,700,"North Indian,Chinese,Biryani",Delhi NCR,Sector 15-- Gurgaon,https://www.zomato.com/ncr/darbar-food-place-sector-15-gurgaon/info,448,Quick Bites,7pm to 11pm(Mon-Sun),Good,3.7,123
The Host,450,Chinese,Delhi NCR,Model Town 2,https://www.zomato.com/ncr/the-host-model-town-2-new-delhi/info,448,none,11am to 11pm(Mon-Sun),Average,3.3,38
Pay To,700,"North Indian,Mughlai",Delhi NCR,Pitampura,https://www.zomato.com/ncr/pay-to-pitampura-new-delhi/info,448,Quick Bites,11am to 11pm(Mon-Sun),Good,3.5,56
Kabul Delhi,550,Afghan,Delhi NCR,Central Market-- Lajpat Nagar 2,https://www.zomato.com/ncr/kabul-delhi-lajpat-nagar-2-new-delhi/info,448,Casual Dining,11am to 1130pm(Mon-Sun),Good,3.8,151
Frequent Bakes,350,"Bakery,Desserts,Fast Food",Delhi NCR,Sector 62-- Noida,https://www.zomato.com/ncr/frequent-bakes-sector-62-noida/info,449,Bakery,11am to 10pm(Mon-Sun),Average,2.5,80
The Silver Plate,500,"North Indian,Chinese",Delhi NCR,Azadpur,https://www.zomato.com/ncr/the-silver-plate-azadpur-new-delhi/info,449,Quick Bites,11am to 1130pm(Mon-Sun),Average,3.4,93
Khushbu Vaishno Dhaba,350,North Indian,Delhi NCR,Vijay Nagar,https://www.zomato.com/ncr/khushbu-vaishno-dhaba-vijay-nagar-new-delhi/info,449,Quick Bites,"11am to 4pm,7pm to 11pm(Mon-Sun)",Average,3,144
Indian Bites,550,"North Indian,Chinese,Continental",Delhi NCR,Kirti Nagar,https://www.zomato.com/ncr/indian-bites-kirti-nagar-new-delhi/info,449,Casual Dining,11am to 11pm(Mon-Sun),Good,3.5,156
What's Up Kitchen,500,"North Indian,Chinese",Delhi NCR,Rohini,https://www.zomato.com/ncr/whats-up-kitchen-rohini-new-delhi/info,449,none,12noon to 11pm(Mon-Sun),Average,3,61
Hungry House Pizzas & More,600,"Pizza,Fast Food",Delhi NCR,Narela,https://www.zomato.com/ncr/hungry-house-pizzas-more-narela-new-delhi/info,449,Quick Bites,10am to 10pm(Mon-Sun),Average,3.3,352
Jalsa,400,Chinese,Delhi NCR,Safdarjung,https://www.zomato.com/ncr/jalsa-safdarjung-new-delhi/info,449,Quick Bites,11am to 10pm(Mon-Sun),Average,3.4,39
Special No. 1 Biryani Corner,600,"Biryani,Mughlai",Delhi NCR,Rohini,https://www.zomato.com/ncr/special-no-1-biryani-corner-1-rohini-new-delhi/info,449,none,"11am to 11pm(Mon,Wed,Thu,Fri,Sat,Sun),Closed...",Average,3.4,83
Mr. Baker's,250,Bakery,Delhi NCR,Mayur Vihar Phase 1,https://www.zomato.com/ncr/mr-bakers-1-mayur-vihar-new-delhi/info,449,Bakery,1030am to 1030pm(Mon-Sun),Average,3.1,110
Radha Ki Rasoi,400,"North Indian,South Indian,Chinese",Delhi NCR,Paschim Vihar,https://www.zomato.com/ncr/radha-ki-rasoi-paschim-vihar-new-delhi/info,449,Quick Bites,11am to 11pm(Mon-Sun),Average,3,73
The District Cafe & Restro,700,"North Indian,Mughlai,Chinese,Continental,Fast Food",Delhi NCR,Sector 44-- Noida,https://www.zomato.com/ncr/the-district-cafe-restro-sector-44-noida/info,449,Casual Dining,12noon to 12midnight(Mon-Sun),Good,3.8,144
Amar Bakery,300,"Bakery,Fast Food,Street Food",Delhi NCR,Anand Vihar,https://www.zomato.com/ncr/amar-bakery-anand-vihar-new-delhi/info,449,Bakery,10am to 10pm(Mon-Sun),Average,3.4,75
South Indian Hut,250,South Indian,Delhi NCR,Kirti Nagar,https://www.zomato.com/ncr/south-indian-hut-kirti-nagar-new-delhi/info,449,Quick Bites,930am to 1030pm(Mon-Sun),Good,3.9,107
Ghar Bistro Cafe,1000,"Cafe,Chinese,Mughlai,Kebab,North Indian",Delhi NCR,Rajouri Garden,https://www.zomato.com/ncr/ghar-bistro-cafe-rajouri-garden-new-delhi/info,449,Café,1130am to 12midnight(Mon-Sun),Very Good,4.2,1491
The Tandoori Hut,450,"North Indian,Mughlai",Delhi NCR,Sector 72-- Noida,https://www.zomato.com/ncr/the-tandoori-hut-sector-72-noida/info,449,none,1130am to 11pm(Mon-Sun),Average,3.4,41
Food Call,300,North Indian,Delhi NCR,Sainik Farms,https://www.zomato.com/ncr/food-call-1-sainik-farms-new-delhi/info,45,Quick Bites,1pm to 2am(Mon-Sun),Good,3.5,17
The Fauji Dhaba,350,Fast Food,Delhi NCR,Saket,https://www.zomato.com/ncr/the-fauji-dhaba-saket-new-delhi/info,45,Quick Bites,12noon to 3am(Mon-Sun),Very Good,4,219
Cafe Lota,1200,"North Indian,South Indian,Bihari,Salad",Delhi NCR,Pragati Maidan,https://www.zomato.com/ncr/cafe-lota-pragati-maidan-new-delhi/info,45,Casual Dining,"12noon to 930pm(Mon),8am to 930pm(Tue-Sun)",Very Good,4.4,3458
Ever Bake,350,"Bakery,Chinese,Fast Food",Delhi NCR,Shalimar Bagh,https://www.zomato.com/everbake/info,45,Bakery,8am to 1130pm(Mon-Sun),Very Good,4.1,1028
The American Connection Diner,800,"Italian,American,Fast Food,Beverages",Delhi NCR,Kalkaji,https://www.zomato.com/ncr/the-american-connection-diner-kalkaji-new-delhi/info,45,Quick Bites,12noon to 11pm(Mon-Sun),Very Good,4.2,516
Uns,500,"Rajasthani,North Indian,Kebab,Afghan",Delhi NCR,Vasant Kunj,https://www.zomato.com/ncr/uns-1-vasant-kunj-new-delhi/info,45,none,"6pm to 2am(Mon),12noon to 2am(Tue-Sun)",Very Good,4.1,27
Raj N Shree,500,"North Indian,Chinese",Delhi NCR,Sector 3-- Dwarka,https://www.zomato.com/ncr/raj-n-shree-sector-3-dwarka-new-delhi/info,45,Casual Dining,9am to 3am(Mon-Sun),Good,3.6,52
Patiala House,300,"North Indian,Continental",Delhi NCR,Vikaspuri,https://www.zomato.com/ncr/patiala-house-vikaspuri-new-delhi/info,45,none,11am to 2am(Mon-Sun),Good,3.6,27
Burning Bakes,400,"Italian,Pizza",Delhi NCR,Rajinder Nagar,https://www.zomato.com/ncr/burning-bakes-rajinder-nagar-new-delhi/info,45,Quick Bites,12noon to 4am(Mon-Sun),Average,3.3,20
Lucky Rolls,350,"Rolls,Chinese,North Indian",Delhi NCR,Vasundhara Enclave,https://www.zomato.com/ncr/lucky-rolls-vasundhara-enclave-new-delhi/info,45,none,11am to 4am(Mon-Sun),Good,3.5,74
Yummy Yos,300,North Indian,Delhi NCR,Mahipalpur,https://www.zomato.com/ncr/yummy-yos-mahipalpur-new-delhi/info,45,none,9am to 130am(Mon-Sun),Average,3.4,15
Snacks Vnacks,300,Fast Food,Delhi NCR,Sector 49,https://www.zomato.com/ncr/snacks-vnacks-sector-49-gurgaon/info,45,none,24,Average,3.4,15
Capital Grill,1650,"Continental,North Indian,Chinese,Kebab",Delhi NCR,Rajouri Garden,https://www.zomato.com/ncr/capital-grill-rajouri-garden-new-delhi/info,45,Casual Dining,12noon to 1am(Mon-Sun),Very Good,4.3,634
Dolce Gelato,300,"Ice Cream,Beverages,Desserts",Delhi NCR,M Block Market-- Greater Kailash 1 (GK1),https://www.zomato.com/ncr/dolce-gelato-greater-kailash-gk-1-new-delhi/info,45,Dessert Parlor,12noon to 2am(Mon-Sun),Good,3.8,66
Tandoor Style,350,"North Indian,Mughlai,Healthy Food",Delhi NCR,Friends Colony,https://www.zomato.com/ncr/tandoor-style-friends-colony-new-delhi/info,45,Quick Bites,11am to 2am(Mon-Sun),Good,3.6,111
Deep Pompa's Chicken Point,300,North Indian,Delhi NCR,Geeta Colony,https://www.zomato.com/ncr/deep-pompas-chicken-point-geeta-colony-new-delhi/info,450,Quick Bites,"11am to 11pm(Mon,Wed,Thu,Fri,Sat,Sun),Closed...",Good,3.8,42
Happy Pishori Chicken,450,"North Indian,Mughlai",Delhi NCR,Paschim Vihar,https://www.zomato.com/ncr/happy-pishori-chicken-paschim-vihar-new-delhi/info,450,none,"12noon to 11pm(Mon,Wed,Thu,Fri,Sat,Sun)...",Good,3.6,71
Cafe Hangout,700,Cafe,Delhi NCR,Sector 9-- Faridabad,https://www.zomato.com/ncr/cafe-hangout-sector-9-faridabad/info,450,Café,11am to 9pm(Mon-Sun),Good,3.8,98
Nirvana Restaurant,600,"North Indian,Mughlai",Delhi NCR,DLF Cyber City,https://www.zomato.com/ncr/nirvana-restaurant-dlf-cyber-city-gurgaon/info,450,Food Court,"11am to 11pm(Mon-Fri),11am to 4pm(Sat),Closed(Sun)",Good,3.9,276
Cafe Hangout,400,North Indian,Delhi NCR,Chhatarpur,https://www.zomato.com/ncr/cafe-hangout-chhatarpur-new-delhi/info,450,Quick Bites,11am to 11pm(Mon-Sun),Average,3,122
Health Table,500,"North Indian,Fast Food,Beverages",Delhi NCR,Mahipalpur,https://www.zomato.com/ncr/health-table-mahipalpur-new-delhi/info,450,Quick Bites,10am to 11pm(Mon-Sun),Average,3.2,4
Flirty Momo's,300,"Chinese,Rolls",Delhi NCR,Subhash Nagar,https://www.zomato.com/ncr/flirty-momos-subhash-nagar-new-delhi/info,450,none,4pm to 11pm(Mon-Sun),Good,3.7,115
Jain Vista Bakery,300,"Bakery,Fast Food",Delhi NCR,Vasundhara,https://www.zomato.com/ncr/jain-vista-bakery-vasundhara-ghaziabad/info,450,Bakery,10am to 9pm(Mon-Sun),Good,3.6,40
The Golden Buns,300,"Fast Food,Beverages",Delhi NCR,Vikaspuri,https://www.zomato.com/ncr/the-golden-buns-vikaspuri-new-delhi/info,450,Quick Bites,1115am to 1115pm(Mon-Sun),Good,3.7,121
Tunday Kababi,600,"Mughlai,North Indian",Delhi NCR,Sector 72-- Noida,https://www.zomato.com/ncr/tunday-kababi-sector-72-noida/info,450,Quick Bites,"11am to 11pm(Mon-Fri),11am to 12midnight(Sat-Sun)",Average,2.5,135
Kilo Kitchen Biryanis & More,700,"Biryani,North Indian,Mughlai,Kebab",Delhi NCR,Sector 15-- Gurgaon,https://www.zomato.com/kilokitchen/info,450,none,"1130am to 1130pm(Mon,Wed,Thu,Fri,Sat,Sun)...",Very Good,4.2,321
Brosis,900,"Cafe,Bakery",Delhi NCR,Jangpura,https://www.zomato.com/ncr/brosis-jangpura-new-delhi/info,450,Café,10am to 11pm(Mon-Sun),Good,3.9,218
Wafflelust,300,"Desserts,Beverages",Delhi NCR,Paschim Vihar,https://www.zomato.com/ncr/wafflelust-paschim-vihar-new-delhi/info,450,Dessert Parlor,12noon to 12midnight(Mon-Sun),Good,3.7,106
Spicy Chillies,500,"North Indian,Chinese",Delhi NCR,Shalimar Garden,https://www.zomato.com/ncr/spicy-chillies-shalimar-garden-ghaziabad/info,450,Quick Bites,"12noon to 11pm(Mon,Wed,Thu,Fri,Sat,Sun)...",Good,3.8,312
The Old City Café,500,"North Indian,Chinese,Fast Food",Delhi NCR,Vijay Nagar,https://www.zomato.com/ncr/the-old-city-café-vijay-nagar-new-delhi/info,450,Casual Dining,11am to 12midnight(Mon-Sun),Good,3.7,191
Dhannuram Sweets & Restaurant,500,"North Indian,Continental,South Indian,Chinese",Delhi NCR,Loni,https://www.zomato.com/ncr/dhannuram-sweets-restaurant-loni-ghaziabad/info,451,Quick Bites,11am to 1030pm(Mon-Sun),Good,3.5,163
Pal's Tandoori,400,"North Indian,Chinese",Delhi NCR,Sohna Road,https://www.zomato.com/ncr/pals-tandoori-1-sohna-road-gurgaon/info,451,Quick Bites,11am to 1030pm(Mon-Sun),None,NEW,NEW
Shakespere,300,"North Indian,Biryani,Kebab,Beverages",Delhi NCR,Malviya Nagar,https://www.zomato.com/ncr/shakespere-malviya-nagar-new-delhi/info,451,Quick Bites,12noon to 11pm(Mon-Sun),None,NEW,NEW
Zaika Purani Dilli Ka,250,"North Indian,Fast Food,Mughlai",Delhi NCR,Gamma 1,https://www.zomato.com/ncr/zaika-purani-dilli-ka-gamma-1-greater-noida/info,451,Quick Bites,930am to 11pm(Mon-Sun),None,NEW,NEW
Food Box,300,"North Indian,Chinese",Delhi NCR,Sohna Road,https://www.zomato.com/ncr/food-box-sohna-road-gurgaon/info,451,Quick Bites,11am to 10pm(Mon-Sun),None,NEW,NEW
Meal O Meal,350,North Indian,Delhi NCR,Sector 7-- Dwarka,https://www.zomato.com/ncr/meal-o-meal-sector-7-dwarka-new-delhi/info,451,Quick Bites,11am to 11pm(Mon-Sun),None,NEW,NEW
Maa Ki Rasoi,250,"North Indian,Biryani",Delhi NCR,Vasant Kunj,https://www.zomato.com/ncr/maa-ki-rasoi-vasant-kunj-new-delhi/info,451,none,"12noon to 4pm,7pm to 11pm(Mon-Sun)",None,NEW,NEW
Butter and Bon,400,"North Indian,Chinese,Fast Food",Delhi NCR,Sushant Lok,https://www.zomato.com/ncr/butter-and-bon-sushant-lok-gurgaon/info,451,Quick Bites,11am to 11pm(Mon-Sun),None,NEW,NEW
Pizza Hot,300,"Pizza,Beverages,Fast Food",Delhi NCR,Krishna Nagar,https://www.zomato.com/ncr/pizza-hot-krishna-nagar-new-delhi/info,451,Quick Bites,11am to 11pm(Mon-Sun),None,NEW,NEW
Meghwani's Chinese Food Shop,300,"Chinese,Fast Food",Delhi NCR,Paschim Vihar,https://www.zomato.com/ncr/meghwanis-chinese-food-shop-paschim-vihar-new-delhi/info,451,Quick Bites,11am to 10pm(Mon-Sun),None,NEW,NEW
Singh's Chole Bhature,200,"North Indian,Fast Food",Delhi NCR,Laxmi Nagar,https://www.zomato.com/ncr/singhs-chole-bhature-laxmi-nagar-new-delhi/info,451,Quick Bites,9am to 930pm(Mon-Sun),None,NEW,NEW
