,name,address,phone,online_order,rest_type,cuisines,listed_in(type),book_table,rate,approx_cost(for two people),menu_item,listed_in(city)
12035,Jwala Indian & Chinese Fast Food,"12, Hormavu Main Road , Prakurthi Town Ship, Kalyan Nagar, Bangalore","+91 8553951896
+91 9108615454",No,Quick Bites,North Indian,Delivery,No,,200,[],Kalyan Nagar
12036,Jwala Indian & Chinese Fast Food,"12, Hormavu Main Road , Prakurthi Town Ship, Kalyan Nagar, Bangalore","+91 8553951896
+91 9108615454",No,Quick Bites,North Indian,Dine-out,No,,200,[],Kalyan Nagar
12037,Jyothi Prakash,"Bazaar Street, Near Bangalore Furniture, Neelasandra","+91 9845874397
+91 9739123505",No,Quick Bites,South Indian,Dine-out,No,,150,[],Koramangala 6th Block
12038,Jyothi Prakash,"Bazaar Street, Near Bangalore Furniture, Neelasandra","+91 9845874397
+91 9739123505",No,Quick Bites,South Indian,Dine-out,No,,150,[],Brigade Road
12039,Jyoti's Kitchen-Donne Biryani,"Hosa Road, Chennakeshava Nagar, CK Nagar, Electronic City, Bengaluru",+91 8105611622,No,Quick Bites,"South Indian, North Indian, Chinese",Delivery,No,,300,[],Electronic City
12040,Jyoti's Kitchen-Donne Biryani,"Hosa Road, Chennakeshava Nagar, CK Nagar, Electronic City, Bengaluru",+91 8105611622,No,Quick Bites,"South Indian, North Indian, Chinese",Dine-out,No,,300,[],Electronic City
12041,K V Canteen,"156, Veerapillai Street, Commercial Street, Bangalore","+91 9739084547
+91 9886079972",No,Quick Bites,South Indian,Dine-out,No,3.5 /5,100,[],Lavelle Road
12042,K V Canteen,"156, Veerapillai Street, Commercial Street, Bangalore","+91 9739084547
+91 9886079972",No,Quick Bites,South Indian,Dine-out,No,3.5/5,100,[],Brigade Road
12043,K.B.R Fast Food,"Richmond Circle, Opposite PF Office, Richmond Road, Bangalore",+91 9886182692,No,Quick Bites,South Indian,Dine-out,No,,300,[],Brigade Road
12044,K.C Das,"Akshayvana Complex, Akshay Nagar Main Road, Near DLF, Bannerghatta Road, Bangalore",+91 9844060989,No,"Sweet Shop, Quick Bites","Mithai, Street Food",Desserts,No,3.4/5,200,[],Bannerghatta Road
12045,K.G.N Kabbab Corner,"96/3, HRBR Layout, 2nd Block, 4th Cross, Mariappa Circle, Kalyan Nagar, Bangalore","080 25458085
+91 9686823099",No,Quick Bites,"North Indian, Kebab",Delivery,No,4.0/5,500,[],Kammanahalli
12046,K.G.N Kabbab Corner,"96/3, HRBR Layout, 2nd Block, 4th Cross, Mariappa Circle, Kalyan Nagar, Bangalore","080 25458085
+91 9686823099",No,Quick Bites,"North Indian, Kebab",Dine-out,No,4.0/5,500,[],Kalyan Nagar
12047,K.G.N Kabbab Corner,"96/3, HRBR Layout, 2nd Block, 4th Cross, Mariappa Circle, Kalyan Nagar, Bangalore","080 25458085
+91 9686823099",No,Quick Bites,"North Indian, Kebab",Delivery,No,4.0/5,500,[],Kalyan Nagar
12048,K.G.N Kabbab Corner,"96/3, HRBR Layout, 2nd Block, 4th Cross, Mariappa Circle, Kalyan Nagar, Bangalore",080 25458089,No,Quick Bites,"North Indian, Kebab",Dine-out,No,4.0 /5,500,[],Kammanahalli
12049,K27 - The Pub,"27, 27th Cross, 2nd Stage, Banashankari, Bangalore",+91 9980097472,No,Bar,"Chinese, North Indian",Delivery,No,3.1/5,"1,000",[],Banashankari
12050,K27 - The Pub,"27, 27th Cross, 2nd Stage, Banashankari, Bangalore",+91 9980097472,No,Bar,"Chinese, North Indian",Dine-out,No,3.1/5,"1,000",[],Banashankari
12051,K27 - The Pub,"27, 27th Cross, 2nd Stage, Banashankari, Bangalore",+91 9980097472,No,Bar,"Chinese, North Indian",Drinks & nightlife,No,3.1/5,"1,000",[],Banashankari
12052,KA 12 - Flavour Of Coorg,"1, Ramachandra Pura Main Road, C Ramaiah Layout, Vidyaranyapura, Bangalore","+91 9902356045
+91 9900004215",Yes,Quick Bites,South Indian,Delivery,No,4.0 /5,300,[],New BEL Road
12053,KA 12 - Flavour Of Coorg,"1, Ramachandra Pura Main Road, C Ramaiah Layout, Vidyaranyapura, Bangalore","+91 9902356045
+91 9900004215",Yes,Quick Bites,South Indian,Dine-out,No,4.0 /5,300,[],New BEL Road
12054,KA 51 Restocafe,"Hulimangala Rd, Bengaluru, Karnataka 560100, India","+91 9686200001
+91 7406310001",No,Cafe,"Cafe, Mughlai",Cafes,No,3.9/5,650,[],Electronic City
12055,KA 51 Restocafe,"Hulimangala Rd, Bengaluru, Karnataka 560100, India","+91 9686200001
+91 7406310001",No,Cafe,"Cafe, Mughlai",Dine-out,No,3.9/5,650,[],Electronic City
12056,KA53,"Shop 12, Hoodi Main Road, Industrial Area, Hoodi, Whitefield, Bangalore",080 49652151,Yes,Delivery,"Biryani, North Indian, Chinese",Dine-out,No,3.9 /5,300,[],Whitefield
12057,KA53,"Shop 12, Hoodi Main Road, Industrial Area, Hoodi, Whitefield, Bangalore",080 49652151,Yes,Delivery,"North Indian, Chinese",Delivery,No,3.9 /5,300,"['Executive Combo', 'Premium Combo', 'Tandoori Chicken Platter', 'Boneless Chicken Tikka [8 Pieces]', 'Paneer Butter Masala', 'Paneer Pasanda', 'Boneless Butter Chicken Masala [6 Pieces]', 'Boneless Kadhai Chicken [6 Pieces]', 'Mutton Biryani [2 Pieces]', 'Chicken Biryani', 'Executive Combo', 'Premium Combo', 'Paneer Tikka [8 Pieces]', 'Paneer Seekh Kabab [8 Pieces]', 'Tandoori Gobi [8 Pieces]', 'Vegetable Seekh Kabab [8 Pieces]', 'Vegetable Kadak Kabab [8 Pieces]', 'Mushroom Tikka [8 Pieces]', 'Tandoori Chicken Platter', 'Tandoori Chicken Full', 'Boneless Chicken Tikka [8 Pieces]', 'Boneless Chicken Hariyali Kabab [8 Pieces]', 'Boneless Chicken Reshmi Kabab [8 Pieces]', 'Chicken Kalmi Kabab [4 Pieces]', 'Boneless Chicken Malai Kabab [8 Pieces]', 'Boneless Solai Chicken Dry [8 Pieces]', 'Boneless Mutton Pepper Fry [8 Pieces]', 'Fish Tikka [8 Pieces]', 'Tandoori Pomfret', 'Boneless Prawns Pepper Fry [8 Pieces]', 'Boneless Prawns Chatpata Dry [8 Pieces]', 'Tandoori Chicken Half', 'Paneer Butter Masala', 'Paneer Pasanda', 'Palak Paneer', 'Paneer Kalimirchi', 'Malai Kofta', 'Navarathana Korma', 'Bhaigan Bhartha', 'Kadhai Vegetables', 'Veg Jaipuri', 'Rajma Masala', 'Veg Punjabi Bharta', 'Vegetable Chatpata', 'Aloo Gobi Masala', 'Hariyali Veg', 'Mushroom Masala', 'Baby Corn Masala', 'Dal Tadkawali', 'Dal Makhani', 'Dal Palak', 'Boneless Chicken Tikka Masala [6 Pieces]', 'Boneless Butter Chicken Masala [6 Pieces]', 'Boneless Kadhai Chicken [6 Pieces]', 'Boneless Chicken Dahiwala [6 Pieces]', 'Boneless Chicken Kholapuri [6 Pieces]', 'Boneless Chicken Vindaloo [6 Pieces]', 'Boneless Chicken Tikka Lababdar [6 Pieces]', 'Boneless Chicken Chettinadu [6 Pieces]', 'Boneless Chicken Patiala [6 Pieces]', 'Boneless Chicken Saagwala [6 Pieces]', 'Boneless Chicken Kalimirchi [6 Pieces]', 'Boneless Achari Chicken [6 Pieces]', 'Boneless Chicken Shahi Korma [6 Pieces]', 'Boneless Methi Chicken Curry [6 Pieces]', 'Mutton Rogan Josh [6 Pieces]', 'Boneless Mutton Bhuna Gosht [6 Pieces]', 'Mutton Dopiaza [6 Pieces]', 'Fish Kalimirchi [6 Pieces]', 'Goan Fish Curry [6 Pieces]', 'Prawn Chatpata [6 Pieces]', 'Prawn Masala [6 Pieces]', 'Phulka Roti', 'Tandoori Roti', 'Butter Roti', 'Rumali Roti', 'Missi Roti', 'Missi Roti', 'Naan', 'Butter Naan', 'Kulcha', 'Butter Kulcha', 'Tawa Paratha', 'Tandoori Paratha', 'Lacha Paratha', 'Kashmiri Naan', 'Kheema Naan', 'Jeera Rice', 'Palak Rice', 'Vegetable Pulao', 'Vegetable Biryani', 'Corn And Peas Pulao', 'Kashmiri Pulao', 'Curd Rice', 'Mutton Biryani [2 Pieces]', 'Chicken Biryani', 'Butter Paneer Roll', 'Paneer Tikka Roll', 'Chilli Paneer Roll', 'Aloo Tikki Roll', 'Chicken Tikka Roll', 'Malai Tikka Roll', 'Butter Chicken Roll', 'Reshmi Kabab Roll', 'Mutton Rogan Josh Roll', 'Gulab Jamoon']",Whitefield
12058,KA53,"Shop 12, Hoodi Main Road, Industrial Area, Hoodi, Whitefield, Bangalore",080 49652151,Yes,Quick Bites,North Indian,Delivery,No,3.7/5,300,[],Brookefield
12059,KAARA BY THE LAKE,"119, Annaswamy Mudaliar Road, Opposite Ulsoor Lake, Ulsoor, Bangalore",+91 8025565676,No,Cafe,"Cafe, Italian, Coffee",Cafes,No,4.0/5,750,[],Brigade Road
12060,KAARA BY THE LAKE,"119, Annaswamy Mudaliar Road, Opposite Ulsoor Lake, Ulsoor, Bangalore",+91 8025565676,No,Cafe,"Cafe, Italian, Coffee",Delivery,No,4.0/5,750,[],Brigade Road
12061,KATOOTA,"113, 3rd Main AECS Layout, B, Block, Singasandra Electronic City, Bangalore",+91 7829347266,No,Quick Bites,"South Indian, Biryani",Delivery,No,,300,[],Electronic City
12062,KATOOTA,"113, 3rd Main AECS Layout, B, Block, Singasandra Electronic City, Bangalore",+91 7829347266,No,Quick Bites,"South Indian, Biryani",Dine-out,No,,300,[],Electronic City
12063,KBC - Kebab Biryani Curry,"39, Aiyaapanagar Main Road, Near Krishna Community Hall, KR Puram, Bangalore","+91 7338310369
+91 9500545339",Yes,Quick Bites,"North Indian, Chinese, Kebab, Biryani",Delivery,No,3.4 /5,400,"['Chicken 65', 'Chicken Shwarma Roll', 'Chicken Kabab', 'Boneless Chicken Kabab', 'Kbc Bbq Wings', 'Lollipop Wings', 'Tandoori Chicken', 'KBC Grilled', 'Veg Biryani', 'Mushroom Biryani', 'Paneer Biryani', '2 Egg Biryani', 'Chicken Fry Piece Biryani', 'Boneless Chicken Biryani', '2 Tandoori Kalmi Biryani', 'Paneer Butter Masala', 'Boneless Chicken Curry', 'Veg Biryani Combo', 'Ghee Rice Chicken Pepper kebab Combo', 'Chicken Fry Piece Biryani Combo', 'Boneless Chicken Biryani Combo', 'Chicken Biryani with Liver Fry Combo', 'Masala Fries', 'Egg 65', 'Chicken 65', 'Chicken Shwarma Roll', 'Chicken Kabab', 'Boneless Chicken Kabab', 'Kalmi Fry [2 Pieces]', 'Rohu Fish [2 Pieces]', 'Mackerial Fish Fry', 'Tawa Fried Fish [3 Pieces]', 'Prawn 65', 'Kbc Bbq Wings', 'Lemon Garlic Wings', 'Drums of Heaven', 'Lollipop Wings', 'Wings 65', 'Tandoori Wings', 'Peri Peri Wings', 'Gobi Tikka', 'Mushroom Tikka', 'Chicken Pudina Tikka', 'Chicken Tikka', 'Tandoori Chicken', 'Tandoori Kalmi [2 Pieces]', 'Tandoori Mackerial', 'Per Peri Grilled', 'Murgh Malai Tikka', 'Tandoori Leg', 'KBC Grilled', 'Paneer Butter Masala', 'Boneless Chicken Curry', 'Chicken Vepudd', 'Fish Curry', 'Roti', 'Naan', 'Rumali Roti', 'Kulcha', 'Butter Naan', 'Garlic Naan', 'Garlic Butter Naan', '2 Parotta', 'Plain Rice', 'Ghee Rice', 'Jeera Rice', 'Curd Rice', 'Veg Biryani', 'Mushroom Biryani', 'Paneer Biryani', '2 Egg Biryani', 'Chicken Fry Piece Biryani', 'Boneless Chicken Biryani', '2 Tandoori Kalmi Biryani', '2 Fry Kalmi Piece Biryani', 'Kushka Biryani Rice', 'Boneless Tikka Biryani', 'Veg Fried Rice', 'Gobi Fried Rice', 'Mushroom Fried Rice', 'Paneer Fried Rice', 'Schezwan Fried Rice', 'Schezwan Gobi Fried Rice', 'Schezwan Mushroom Fried Rice', 'Schezwan Paneer Fried Rice', 'Egg Fried Rice', 'Chicken Fried Rice', 'Schezwan Chicken Fried Rice', 'Singapore Chicken Fried Rice', 'Triple Chicken Fried Rice', 'Veg Hakka Noodles', 'Gobi Noodles', 'Mushroom Noodles', 'Paneer Noodles', 'Schezwan Noodles', 'Schezwan Gobi Fried Noodles', 'Schezwan Mushroom Noodles', 'Schezwan Paneer Noodles', 'Egg Noodles', 'Non Veg American Chopsey Chicken Noodles', 'Chicken Noodles', 'Sechzwan chicken Noodles', 'Singapore Chicken Noodles', 'Gobi Manchurian', 'Potato Manchurian', 'Baby Corn Manchurian', 'Mushroom Manchurian', 'Paneer Manchurian', 'Egg Manchurian', 'Chicken Manchurian', 'Fish Manchurian', 'Prawns Manchurian', 'Gobi Chilly', 'Potato Chilly', 'Baby Corn Chilly', 'Mushroom Chilly', 'Paneer Chilly', 'Chilly Egg', 'Chicken Chilly', 'Fish Chilly', 'Prawns Chilly', 'Gobi Schezwan', 'Potato Schezwan', 'Baby Corn Schezwan', 'Mushroom Schezwan', 'Paneer Schezwan', 'Chicken Schezwan', 'Fish Schezwan', 'Prawns Schezwan', 'Masala Papad', 'Veg Biryani Combo', 'Ghee Rice Chicken Pepper Combo', 'Ghee Rice Chicken Pepper with Soft Drink', 'Ghee Rice Chicken Pepper kebab Combo', 'Ghee Rice Chicken Pepper kebab with Soft Drink', 'Chicken Fry Piece Biryani Combo', 'Boneless Chicken Biryani Combo', 'Kebab Biryani Combo', 'Chicken Biryani with Liver Fry Combo', 'Kushka Combo']",Whitefield
12064,KC Das,"38, MG Road Area, MG Road, Bangalore","080 25587003
+91 9343767470",Yes,"Sweet Shop, Quick Bites","Mithai, Street Food",Delivery,No,3.9 /5,200,[],Lavelle Road
12065,KC Das,"38, MG Road Area, MG Road, Bangalore","080 25587003
+91 9343767470",Yes,"Sweet Shop, Quick Bites","Mithai, Street Food",Dine-out,No,3.9 /5,200,[],Brigade Road
12066,KC Das,"38, MG Road Area, MG Road, Bangalore","080 25587003
+91 9343767470",Yes,"Sweet Shop, Quick Bites","Mithai, Street Food",Delivery,No,3.9/5,200,"['Cham Cham', 'Kaju Kathli', 'Rossomanjuri', 'Rossogolla', 'Singara', 'Chiwda', 'Dahi Vada', 'Dalmoth', 'Ghantia', 'Kasta Kachori', 'Khara Boondi', 'Khara Mixture', 'Kolkata Channa Chur', 'Mixture', 'Moong Dal Mixture', 'Nimki', 'Papdi', 'Sev', 'Thick Sev', 'Veg Chop', 'Singara', 'Dahi', 'Anjeer Twirl', 'Badam Kathli', 'Cham Cham', 'Darbesh', 'Dry Fruit Twirl', 'Gur Sandesh', 'Iranian Delight', 'Kaju Crush', 'Kaju Kathli', 'Kaju Roll', 'Kesar Cham Cham', 'Kesar Malai', 'Kesar Peda', 'Mihidhana', 'Nikuthi', 'Rossomadhuri', 'Rossomanjuri', 'Sonapapri', 'Sondesh', 'Turkish Delight', 'Fruit Dahi', 'Kshir Kanti', 'Rossogolla']",Frazer Town
12067,KC Das,"38, MG Road Area, MG Road, Bangalore","080 25587003
+91 9343767470",Yes,"Sweet Shop, Quick Bites","Mithai, Street Food",Dine-out,No,3.9/5,200,"['Cham Cham', 'Kaju Kathli', 'Rossomanjuri', 'Rossogolla', 'Singara', 'Aloo Puri', 'Chiwda', 'Dahi Vada', 'Dalmoth', 'Ghantia', 'Khara Boondi', 'Khara Mixture', 'Kolkata Channa Chur', 'Luchi', 'Mixture', 'Moong Dal Mixture', 'Nimki', 'Papdi', 'Sev', 'Thick Sev', 'Veg Chop', 'Singara', 'Dahi', 'Anjeer Burfi [1 Kg]', 'Anjeer Twirl', 'Badam Crush', 'Cham Cham', 'Chitrakut', 'Darbesh', 'Dry Fruit Milk Delight', 'Dry Fruit Twirl', 'Iranian Delight', 'Kaju Crush', 'Kaju Delight', 'Kaju Kathli', 'Kala Jamun', 'Kesar Bhog', 'Kesar Cham Cham', 'Kesar Malai', 'Kesar Peda', 'Kshir Burfi', 'Kshir Kadam', 'Kshir Mohan', 'Lal Mohan', 'Malpo', 'Mihidhana', 'Mysore Pak', 'Panthava', 'Prabhu Bhog', 'Rabri', 'Raj Bhog', 'Rossomadhuri', 'Rossomalancha', 'Rossomanjuri', 'Sonapapri', 'Sondesh', 'Turkish Delight', 'Kesar Burfi', 'Kshir Chop', 'Rossogolla']",Church Street
12068,KC Das,"38, MG Road Area, MG Road, Bangalore","080 25587003
+91 9343767470",Yes,"Sweet Shop, Quick Bites","Mithai, Street Food",Delivery,No,3.9/5,200,[],Church Street
12069,KC Das,"38, MG Road Area, MG Road, Bangalore","080 25587003
+91 9343767470",Yes,"Sweet Shop, Quick Bites","Mithai, Street Food",Delivery,No,3.9/5,200,"['Cham Cham', 'Kaju Kathli', 'Rossomanjuri', 'Rossogolla', 'Singara', 'Aloo Puri', 'Chiwda', 'Dahi Vada', 'Dalmoth', 'Ghantia', 'Hing Kachori', 'Khara Boondi', 'Khara Mixture', 'Kolkata Channa Chur', 'Luchi', 'Mixture', 'Moong Dal Mixture', 'Nimki', 'Paneer Chop', 'Papdi', 'Sev', 'Thick Sev', 'Veg Chop', 'Singara', 'Anjeer Burfi [1 Kg]', 'Anjeer Twirl', 'Badam Kathli', 'Cham Cham', 'Chitrakut', 'Dry Fruit Milk Delight', 'Dry Fruit Twirl', 'Gur Rasgulla', 'Gur Sandesh', 'Iranian Delight', 'Jamoon', 'Kaju Delight', 'Kaju Kathli', 'Kaju Roll', 'Kala Jamun', 'Kesar Cham Cham', 'Kesar Malai', 'Kesar Peda', 'Kshir Kadam', 'Kshir Mohan', 'Lal Mohan', 'Malpo', 'Mihidhana', 'Mysore Pak', 'Nikuthi', 'Panthava', 'Ras Kadam', 'Rossomalancha', 'Rossomanjuri', 'Sonapapri', 'Sondesh', 'Turkish Delight', 'Badam Delight', 'Kesar Burfi', 'Rossogolla']",Brigade Road
12070,KC Das,"881/F, VS Arcade, Modi Hospital Road, 2nd Stage, Basaveshwara Nagar, Bangalore",+91 9886649295,Yes,"Sweet Shop, Quick Bites","Mithai, Street Food",Desserts,No,,200,[],Rajajinagar
12071,KC Das - Elite Sweets,"604, 4th Cross, 2nd Block, HRBR Layout, Kalyan Nagar, Bangalore",+91 9845120302,No,"Sweet Shop, Quick Bites","Mithai, Street Food",Desserts,No,3.2/5,200,[],Kalyan Nagar
12072,KC Das - Klassic Foods,"1522, South End B Cross, 28th Main, 9th Block, Jayanagar, Bangalore","080 22455038
+91 9845577289",No,"Sweet Shop, Quick Bites","Mithai, Street Food",Desserts,No,3.0/5,200,[],Jayanagar
12073,KC Das - Sai Sweets,"1/3, 100 Feet Ring Road, 4th Phase, JP Nagar, Bangalore","080 41209034
+91 9341550169",No,"Sweet Shop, Quick Bites","Mithai, Street Food",Desserts,No,2.9/5,200,[],JP Nagar
12074,KC Das - Sweet Bite,"3D, Wheeler Road, Frazer Town, Bangalore","080 25543107
+91 9886201249",No,"Sweet Shop, Quick Bites","Mithai, Street Food",Desserts,No,3.5 /5,200,[],MG Road
12075,KC Das - Sweet Bite,"3D, Wheeler Road, Frazer Town, Bangalore","080 25543107
+91 9886201249",No,"Sweet Shop, Quick Bites","Mithai, Street Food",Desserts,No,3.5/5,200,[],Church Street
12076,KC Das - Sweet Corner,"1174, 2, 17th Cross, 5th Main, Sector 7, HSR Layout, HSR, Bangalore","080 25729028
+91 9845493476",No,"Sweet Shop, Quick Bites","Mithai, Street Food",Desserts,No,2.9/5,200,[],HSR
12077,KC Das - Sweet House,2/14 80 feet Road RMV 2nd stage New BEL Road,"+91 7795139387
+91 9886869688",No,"Sweet Shop, Quick Bites","Mithai, Street Food",Desserts,No,3.0 /5,200,[],New BEL Road
12078,KC Das - Sweet Paradise,"2, 2nd Stage, CMH Road, Indiranagar, Bangalore",+91 9740736386,No,"Sweet Shop, Quick Bites","Mithai, Street Food",Desserts,No,2.9/5,200,[],Indiranagar
12079,KC Das - Sweet Sadan,"295, 17th Cross, Sampige Road, Malleshwaram, Bangalore","+91 8023469192
+91 7795585693",Yes,"Sweet Shop, Quick Bites","Mithai, Street Food",Delivery,No,3.0 /5,200,"['Singara', 'Mishti Doi', 'Soan Papdi', 'Kaju Katli', 'Rasgulla [5 Pieces]', 'Rasmalai [5 Pieces]', 'Rossomanjuri [5 Pieces]', 'Singara', 'Veg Chop Cutlet [3 Pieces]', 'Paneer Chop Cutlet [3 Pieces]', 'Sev [250 grams]', 'Salted Papdi [250 grams]', 'Chiwda [250 grams]', 'Khara Boondi [250 grams]', 'Dalmoth Mixture [250 grams]', 'Kolkata Chana Chur [250 grams]', 'Khara Mixture [250 grams]', 'Moong Dal Mixture [250 grams]', 'Mishti Doi', 'Soan Papdi', 'Turkish Delight', 'Iranian Delight', 'Kesar Peda', 'Khir Burfi', 'Kesar Burfi', 'Mysore Pak', 'Dry Fruit Milk', 'Kaju Katli', 'Kaju Roll', 'Badam Halwa', 'Dry Fruit Twirl', 'Anjeer Twirl', 'Rasgulla [5 Pieces]', 'Rasmalai [5 Pieces]', 'Khir Kadam [5 Pieces]', 'Ross Kadam [5 Pieces]', 'Cham Cham [5 Pieces]', 'Rossomanjuri [5 Pieces]', 'Kala Jamun [5 Pieces]', 'Malpova [5 Pieces]', 'Gulab Jamun [5 Pieces]', 'Baby Jamun [5 Pieces]']",Malleshwaram
12080,KC Das - Sweet Sadan,"295, 17th Cross, Sampige Road, Malleshwaram, Bangalore","+91 8023469192
+91 7795585693",Yes,"Sweet Shop, Quick Bites","Mithai, Street Food",Desserts,No,3.0 /5,200,"['Singara', 'Mishti Doi', 'Soan Papdi', 'Kaju Katli', 'Rasgulla [5 Pieces]', 'Rasmalai [5 Pieces]', 'Rossomanjuri [5 Pieces]', 'Singara', 'Veg Chop Cutlet [3 Pieces]', 'Paneer Chop Cutlet [3 Pieces]', 'Sev [250 grams]', 'Salted Papdi [250 grams]', 'Chiwda [250 grams]', 'Khara Boondi [250 grams]', 'Dalmoth Mixture [250 grams]', 'Kolkata Chana Chur [250 grams]', 'Khara Mixture [250 grams]', 'Moong Dal Mixture [250 grams]', 'Mishti Doi', 'Soan Papdi', 'Turkish Delight', 'Iranian Delight', 'Kesar Peda', 'Khir Burfi', 'Kesar Burfi', 'Mysore Pak', 'Dry Fruit Milk', 'Kaju Katli', 'Kaju Roll', 'Badam Halwa', 'Dry Fruit Twirl', 'Anjeer Twirl', 'Rasgulla [5 Pieces]', 'Rasmalai [5 Pieces]', 'Khir Kadam [5 Pieces]', 'Ross Kadam [5 Pieces]', 'Cham Cham [5 Pieces]', 'Rossomanjuri [5 Pieces]', 'Kala Jamun [5 Pieces]', 'Malpova [5 Pieces]', 'Gulab Jamun [5 Pieces]', 'Baby Jamun [5 Pieces]']",Malleshwaram
12081,KC Das - Sweet Sensation,"338, 17th Cross, 8th Main Road, Thubarahalli, Whitefield Area, Bangalore, Whitefield, Bangalore","080 65952185
+91 9242982649",No,"Sweet Shop, Quick Bites","Mithai, Street Food",Desserts,No,2.9 /5,200,[],Whitefield
12082,KC Das - Sweet Sensation,"338, 17th Cross, 8th Main Road, Thubarahalli, Whitefield Area, Bangalore, Whitefield, Bangalore","080 65952185
+91 9242982649",No,"Sweet Shop, Quick Bites","Mithai, Street Food",Dine-out,No,2.9 /5,200,[],Whitefield
12083,KC Das - Sweet Sensation,"338, 17th Cross, 8th Main Road, Thubarahalli, Whitefield Area, Bangalore, Whitefield, Bangalore","080 65952185
+91 9242982649",No,"Sweet Shop, Quick Bites","Mithai, Street Food",Desserts,No,2.9/5,200,[],Brookefield
12084,KC Das - Sweet Sensation,"338, 17th Cross, 8th Main Road, Thubarahalli, Whitefield Area, Bangalore, Whitefield, Bangalore","080 65952185
+91 9242982649",No,"Sweet Shop, Quick Bites","Mithai, Street Food",Dine-out,No,2.9/5,200,[],Brookefield
12085,KC Das - Sweet Spot,"20, East Anjenaya Temple Street, Basavanagudi, Bangalore",+91 9845173245,No,"Sweet Shop, Quick Bites","Mithai, Street Food",Desserts,No,3.6/5,200,[],Banashankari
12086,KC Das - The Delite Foods,"252, 7th Cross, 2nd Stage, Mico Layout, BTM, Bangalore","+91 9845493476
080 41669697",No,"Sweet Shop, Quick Bites","Mithai, Street Food",Desserts,No,3.3 /5,200,[],BTM
12087,KC Das- Sweet World,"54/48, Shivani Building, Next to IBP Petrol Pump, 7th Phase, JP Nagar, Bangalore",+91 7795585693,Yes,"Sweet Shop, Quick Bites","Mithai, Street Food",Delivery,No,3.3/5,200,[],Bannerghatta Road
12088,KF's Biryani's and Kababs,"Opposite Shilton Hotel, Near Sony World Signal, 100ft Inner Ring Road, Muniyappa Layout, 4th Cross, Koramangala 4th Block, Bangalore","+91 9620866906
+91 9867379021",Yes,Quick Bites,"Biryani, Kebab",Delivery,No,3.4 /5,400,[],Koramangala 7th Block
12089,KF's Biryani's and Kababs,"Opposite Shilton Hotel, Near Sony World Signal, 100ft Inner Ring Road, Muniyappa Layout, 4th Cross, Koramangala 4th Block, Bangalore","+91 9620866906
+91 9867379021",Yes,Quick Bites,"Biryani, Kebab",Dine-out,No,3.4 /5,400,[],Koramangala 6th Block
12090,KF's Biryani's and Kababs,"Opposite Shilton Hotel, Near Sony World Signal, 100ft Inner Ring Road, Muniyappa Layout, 4th Cross, Koramangala 4th Block, Bangalore","+91 9620866906
+91 9867379021",Yes,Quick Bites,"Biryani, Kebab",Delivery,No,3.4 /5,400,"['Chicken 65', 'Boneless Chicken Chilli', 'Chicken Roast', 'Chicken Tandoori Fry with Schezwan', 'Gobi Chilli', 'Gobi Manchurian', 'Green Peas Masala Dry', 'Paneer Chilli', 'Paneer Manchurian', 'Paneer Tikka', 'Chilli Potato', 'Veg Manchurian', 'Schezwan Egg Fry', 'Egg Chilli', 'Egg Dry Fry', 'Egg Pakoda', 'Chicken 65', 'Chicken 65 with Schezwan', 'Boneless Chicken Chilli', 'Desi Style Chicken Fry', 'Chicken Kalimiri', 'Bengali Style Chicken Kosha', 'Chicken Manchurian', 'Boneless Chicken Manchurian', 'Chicken Peri Peri', 'Chicken Roast', 'Chicken Tandoori Fry', 'Chicken Tandoori Fry with Schezwan', 'Garlic Chicken', 'Ginger Chicken', 'Lahori Chicken', 'Boneless Lemon Chicken', 'Boneless Lemon Pepper Chicken', 'Boneless Pepper Chicken', 'Schezwan Chicken', 'Schezwan Chicken Fry', 'Paneer Masala', 'Mixed Veg Korma', 'Mix Veg Curry', 'Matar Paneer', 'Green Peas Masala', 'Butter Chicken', 'Boneless Butter Chicken', 'Chicken Angare', 'Chicken Chilli', 'Chicken Do Pyaza', 'Chicken Hyderabadi', 'Chicken Korma', 'Chicken Kolhapuri', 'Chicken Masala', 'Aloo Paratha', 'Gobi Paratha', 'Dal Khichadi', 'Veg Fried Rice', 'Veg Schezwan Fried Rice', 'Veg Schezwan Tripple Fried Rice', 'Egg Fried Rice', 'Chicken Fried Rice', 'Chicken Schezwan Fried Rice', 'Chicken Schezwan Tripple Fried Rice', 'Veg Schezwan Noodles', 'Egg Schezwan Noodles', 'Chicken Schezwan Noodles']",Koramangala 5th Block
12091,KF's Biryani's and Kababs,"Opposite Shilton Hotel, Near Sony World Signal, 100ft Inner Ring Road, Muniyappa Layout, 4th Cross, Koramangala 4th Block, Bangalore","+91 9620866906
+91 9867379021",Yes,Quick Bites,"Biryani, Kebab",Dine-out,No,3.4 /5,400,[],Koramangala 5th Block
12092,KF's Biryani's and Kababs,"Opposite Shilton Hotel, Near Sony World Signal, 100ft Inner Ring Road, Muniyappa Layout, 4th Cross, Koramangala 4th Block, Bangalore","+91 9620866906
+91 9867379021",Yes,Quick Bites,"Biryani, Kebab",Delivery,No,3.4/5,400,[],BTM
